Country,City,Temperature,Latitude,Wind Speed,Humidity,Cloudiness
ID,Sibolga,20.15,1.74,0.68,100,92
KI,Butaritari,29.02,3.07,7.73,100,20
CL,Punta Arenas,10.8,-53.16,5.1,71,0
MK,Poum,1.67,41.28,0.73,71,92
PF,Faanui,29.3,-16.48,3.28,100,64
NZ,Ahipara,22.9,-35.17,7.73,69,88
MZ,Inhambane,25.8,-23.87,7.73,89,100
AU,Jamestown,15.42,-33.21,3.23,83,0
RU,Chokurdakh,-19.43,70.62,6.98,86,44
JP,Hasaki,12.08,35.73,2.1,30,0
AR,Mar del Plata,16.27,-46.43,3.48,57,0
BR,Alta Floresta,23.9,-9.87,0.93,96,64
BR,Baiao,25.07,-2.79,1.08,93,88
LY,Zuwarah,17.92,32.93,4.93,65,0
US,Choctaw,18.51,35.5,3.1,36,20
NP,Jumla,-7.36,29.28,0.88,55,0
ZA,Hermanus,18.33,-34.42,6.26,78,88
SO,Hobyo,27.12,5.35,5.23,89,92
US,Lompoc,17.58,34.64,3.6,77,75
RU,Vrangel,0.65,42.73,4.08,100,56
CA,Tuktoyaktuk,-7.0,69.44,5.7,92,75
AU,Bluff,28.8,-23.58,4.13,57,48
FO,Klaksvik,7.0,62.23,1.0,75,64
MG,Beloha,21.22,-25.17,0.28,90,0
CK,Avarua,30.0,-21.21,2.6,79,36
BR,Touros,26.0,-5.2,1.5,94,40
AU,Busselton,17.22,-33.64,6.48,49,12
US,Sitka,19.44,37.17,4.02,50,24
PF,Atuona,28.02,-9.8,5.88,100,8
NZ,Mataura,12.78,-46.19,8.94,74,24
AO,Namibe,24.77,-15.19,3.73,100,20
AR,Ushuaia,11.0,-54.81,2.1,76,75
US,Vardo,4.28,39.62,1.5,28,1
GL,Qaanaaq,-25.78,77.48,6.03,83,32
TM,Gazojak,11.32,41.19,2.58,97,100
GY,Georgetown,26.45,6.8,4.1,78,20
RU,Provideniya,1.0,64.42,15.0,86,75
VG,Road Town,25.87,18.42,3.1,74,20
ZA,Cape Town,17.88,-33.93,4.1,63,0
HT,Derac,22.67,19.65,2.03,100,80
US,Willmar,7.47,45.12,3.6,81,90
NZ,Te Anau,10.65,-45.41,5.23,73,24
CA,Thompson,5.0,55.74,3.6,60,90
MU,Mahebourg,25.46,-20.41,1.0,88,75
ML,Taoudenni,19.17,22.68,0.63,87,100
BN,Victoria,25.76,5.28,1.88,94,75
BM,Hamilton,19.73,32.3,11.3,94,90
CA,Sioux Lookout,3.0,50.1,4.1,64,90
PT,Ribeira Grande,16.37,38.52,2.43,96,32
ZA,Bredasdorp,19.11,-34.53,5.7,68,76
AU,Palmer,19.73,-34.85,2.6,55,0
CA,Yellowknife,-1.98,62.45,5.7,68,90
GL,Nanortalik,-4.08,60.14,10.83,100,76
RU,Nikolskoye,-3.92,59.7,5.0,79,0
MX,Guerrero Negro,19.8,27.97,4.93,65,48
BR,Arraial do Cabo,25.0,-22.97,3.83,78,40
PF,Rikitea,26.67,-23.12,7.18,97,20
IN,Vaini,22.12,15.34,0.53,94,92
RU,Khatanga,-4.08,71.98,4.78,90,76
US,Bethel,3.76,60.79,8.7,93,90
RU,Borogontsy,-16.36,62.67,1.88,65,36
UY,Chuy,17.65,-33.69,5.83,98,92
RU,Dikson,-1.56,73.51,12.73,94,88
GB,Northam,4.59,51.04,2.18,86,0
US,Kodiak,14.59,39.95,4.1,24,40
